Instance,Seed,CutoffSeconds,HasVerifiedSolution,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,BestCost,ModelName,KernelName,ControllerEnabled,Feasible
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
tcp_wt-tcp_students_112_it_2_old.wcnf,1,60,True,0.174518,44.0326,3699.0,Host-NuWLS,NuWLS,False,True
timetabling_wt-comp02_old.wcnf,1,60,True,0.504577,7.9037,136.0,Host-NuWLS,NuWLS,False,True
timetabling_wt-comp09_old.wcnf,1,60,True,0.443086,26.2456,135.0,Host-NuWLS,NuWLS,False,True
timetabling_wt-comp12_old.wcnf,1,60,True,0.378638,59.5934,555.0,Host-NuWLS,NuWLS,False,True
timetabling_wt-dds4_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
abstraction-refinement_wt-downcast-antlr_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
abstraction-refinement_wt-downcast-avrora_old.wcnf,1,60,True,57.135839,57.135839,52209.0,SCOPE-MaxSAT,NuWLS,True,True
abstraction-refinement_wt-downcast-hsqldb_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
abstraction-refinement_wt-downcast-pmd_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
abstraction-refinement_wt-downcast-xalan_old.wcnf,1,60,True,63.890466,63.890466,70055.0,SCOPE-MaxSAT,NuWLS,True,True
abstraction-refinement_wt-polysite-avrora_old.wcnf,1,60,True,58.810435,58.810435,57355.0,SCOPE-MaxSAT,NuWLS,True,True
abstraction-refinement_wt-polysite-bloat_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
abstraction-refinement_wt-polysite-hsqldb_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
abstraction-refinement_wt-polysite-pmd_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
abstraction-refinement_wt-polysite-xalan_old.wcnf,1,60,False,,,,SCOPE-MaxSAT,NuWLS,True,False
causal-discovery_wt-causal_alarm_9_1000_old.wcnf,1,60,True,7.354794,16.764458,36049513.0,SCOPE-MaxSAT,NuWLS,True,True
causal-discovery_wt-causal_carpo_8_1000_old.wcnf,1,60,True,2.640818,6.674115,3556961.0,SCOPE-MaxSAT,NuWLS,True,True
causal-discovery_wt-causal_Link_10_10000_old.wcnf,1,60,True,19.643682,31.391682,39112847.0,SCOPE-MaxSAT,NuWLS,True,True
causal-discovery_wt-causal_Link_10_1000_old.wcnf,1,60,True,19.468833,46.339703,33562494.0,SCOPE-MaxSAT,NuWLS,True,True
